"Ubigeo","Provincia","Region","Organización Política","Electores","Votos","% Votos","total_electores_mujeres","porcentaje_mujeres","total_electores_jovenes","porcentaje_jovenes","IDH","% Pobreza Extrema","PE_Hab"
30300,"ANTABAMBA","APURIMAC","PARTIDO POLITICO NACIONAL PERU LIBRE",9274,4797,0.8405,4561,48.948272161408,2633,28.257136724619,0.323102353598462,28.1631243675668,3658.10822410325
30500,"COTABAMBAS","APURIMAC","PARTIDO POLITICO NACIONAL PERU LIBRE",36070,20212,0.9116,18208,50.4852215382909,12321,34.1623689901847,0.372053682028399,34.3300246370072,18691.6685141113
30700,"GRAU","APURIMAC","PARTIDO POLITICO NACIONAL PERU LIBRE",18250,9703,0.868,8957,48.5763870058029,5757,31.2218666955909,0.304488319025415,21.0948574786292,5374.33683983037
30600,"CHINCHEROS","APURIMAC","PARTIDO POLITICO NACIONAL PERU LIBRE",35242,19791,0.834,17979,51.0709010339734,11786,33.4791500965799,0.344303514850603,21.2206272555109,11112.818081166
40100,"AREQUIPA","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",901611,433994,0.6295,452349,50.3786621642993,253932,28.2807178543665,0.66933497919903,0.902336991987635,11020.5845712019
40500,"CAYLLOMA","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",74641,46879,0.8611,37933,49.1220118619046,21725,28.1331744839553,0.588818268722751,6.12839906750216,6450.63029047142
40200,"CAMANA","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",48565,20623,0.5923,23832,48.8550870215863,13389,27.4471618048011,0.624133348573478,1.28124857914782,854.195615232059
40300,"CARAVELI","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",26213,8422,0.4717,12297,47.2598001537279,6751,25.945426594927,0.616486844457873,2.14426816665872,775.581795880461
40400,"CASTILLA","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",25959,12800,0.7587,12438,47.1189907944085,6912,26.1847937265598,0.566243808886177,7.30643749369459,2573.2542209043
40600,"CONDESUYOS","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",11940,5918,0.82,5751,47.524997934055,3063,25.3119576894472,0.581571123130452,13.8197128756972,2240.03726002176
40700,"ISLAY","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",45429,24149,0.7125,22098,48.2341642292749,11600,25.3197712489632,0.630938131124971,1.06233647586576,635.425939674344
40800,"LA UNION","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",10910,5300,0.8594,5211,47.2224739465338,3144,28.4911644766652,0.357948486236479,23.8216528448687,3708.79313141761
50100,"HUAMANGA","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",212392,130495,0.823,108790,51.3887576759565,74732,35.3008974964573,0.489395999823841,11.6961137089656,36618.0758388925
50200,"CANGALLO","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",25505,14901,0.8909,13370,52.0010890280425,8501,33.063669246626,0.329311567938455,32.6536111676744,11818.9745621397
50400,"HUANTA","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",70009,37717,0.8308,35607,50.9311706144868,26486,37.8847694244193,0.389530096039708,27.0457231530846,28482.1215097449
50500,"LA MAR","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",57117,31155,0.852,28078,49.0745433889714,22080,38.59127851088,0.332574685607884,26.0079267774253,22368.6375834602
50600,"LUCANAS","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",35663,15932,0.7278,18416,51.6346099927101,9743,27.3173330342623,0.425449006035701,19.1228990503576,9434.66470447494
50700,"PARINACOCHAS","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",18008,8985,0.8185,9339,51.8315018315018,5352,29.7036297036297,0.41744346365726,22.0782542360056,5765.5153111905
51000,"VICTOR FAJARDO","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",16777,8745,0.9002,8834,52.0228490666038,4748,27.9606619162594,0.375382199657322,32.105582570946,7172.38714634932
50300,"HUANCA SANCOS","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",7571,4219,0.8828,4008,52.5088431809249,2263,29.6475828638805,0.382788203623698,26.3723969363505,2694.20407101757
51100,"VILCAS HUAMAN","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",15873,8199,0.8518,8184,51.0702028081123,4630,28.8923556942278,0.314307958949445,29.267140019262,6387.26063780375
50800,"PAUCAR DEL SARA SARA","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",6659,3051,0.7299,3397,50.9906934854398,1641,24.6322425697989,0.435518521210977,19.0072799180121,1735.93487491204
50900,"SUCRE","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",7708,3425,0.7669,3942,50.8055161747648,2249,28.9856940327362,0.387487977919471,30.8403864009339,3237.31536050604
60100,"CAJAMARCA","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",273272,114306,0.59,142711,52.380235784652,86125,31.611072776122,0.535394003901843,15.7710334376908,64059.7298792187
60200,"CAJABAMBA","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",57201,18407,0.557,29311,51.2054086160512,19742,34.4886621711331,0.350381975931075,42.8574875840109,38569.5959512306
