"Provincia","Region","Organización Política","Votos","% Votos","Total_electores","total_electores_mujeres","total_electores_jovenes","porcentaje_mujeres","porcentaje_jovenes","Ubigeo","IDH","% Pobreza Extrema","PE_Hab"
"HUAMANGA","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",64192,0.4896,211700,108790,74732,51.3887576759565,35.3008974964573,"050100","0.48939599982384102","11.6961137089656","36618.075838892502"
"HUANCA SANCOS","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",2342,0.6131,7633,4008,2263,52.5088431809249,29.6475828638805,"050300","0.38278820362369798","26.372396936350501","2694.2040710175702"
"HUANCABAMBA","PIURA","PARTIDO POLITICO NACIONAL PERU LIBRE",16157,0.4773,91011,45274,31729,49.7456351430047,34.8628187801474,"200300","0.26483999769420202","33.882185914736603","46008.281431761701"
"HUANCANE","PUNO","PARTIDO POLITICO NACIONAL PERU LIBRE",19833,0.5809,55542,28196,14883,50.7651867055562,26.795938208923,"210600","0.317619644629901","17.990867205490598","12759.6627481501"
"HUANCAVELICA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",29961,0.564,95175,48954,34406,51.4357762017337,36.1502495403205,"090100","0.42649871612420498","10.526865627177299","14727.295549733601"
"HUANCAYO","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",64088,0.224,440758,226103,137227,51.2986718335232,31.1343186056748,"120100","0.57612615574724502","1.75663216512372","10831.464195439499"
"HUANTA","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",17675,0.5332,69912,35607,26486,50.9311706144868,37.8847694244193,"050400","0.38953009603970801","27.045723153084602","28482.121509744899"
"HUANUCO","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",43239,0.3352,227086,114954,75692,50.6213505015721,33.3318654606625,"100100","0.52869319008585902","13.5612378086434","44845.928534159102"
"HUARAL","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",11657,0.1313,150726,74888,44019,49.684858617624,29.2046494964372,"150600","0.63224561923362799","1.0678779168299299","2210.69950586299"
"HUARAZ","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",23641,0.3125,128040,64692,37630,50.5248359887535,29.3892533583255,"020100","0.56254327046814601","3.12243586478401","5699.9442224459199"
"HUARI","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",12813,0.5034,57385,28572,17962,49.7900148122332,31.3008625947547,"021000","0.424135442845821","7.8729230979909497","6268.9724752372504"
"HUARMEY","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",1498,0.1129,23589,11457,6846,48.5692483784815,29.0220017804909,"021100","0.57446123055463405","2.9391286758932602","975.23228594814202"
"HUAROCHIRI","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",10045,0.1958,87073,44358,21816,50.9434612336775,25.0548390431018,"150700","0.55193283142041205","3.2086206407064402","3712.8874605998599"
"HUAURA","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",15535,0.1479,177328,89039,50572,50.2114725254895,28.5189028241451,"150800","0.65096255194939801","1.26288017283011","3098.8048528836198"
"HUAYLAS","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",4287,0.2138,42699,21530,14200,50.4227265275533,33.2560481510106,"021200","0.40555962580593402","17.6249362971907","10821.182138386201"
"HUAYTARA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",3313,0.461,18323,9398,5102,51.2907275009551,27.8447852425913,"090600","0.40137603138584099","21.038644603083601","5071.5756680193299"
"ICA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",29423,0.1568,298620,150102,85786,50.2652200120555,28.727479740138,"110100","0.63970167278467904","2.7039947836288901E-2","114.47821595606101"
"ILO","MOQUEGUA","PARTIDO POLITICO NACIONAL PERU LIBRE",10866,0.2559,63124,31459,17150,49.8368290982827,27.1687472276789,"180300","0.68580838257618704","0.31439528254197502","269.075202563549"
"ISLAY","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",12828,0.4204,45814,22098,11600,48.2341642292749,25.3197712489632,"040700","0.63093813112497099","1.0623364758657601","635.42593967434402"
"JAEN","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",20243,0.2524,158715,76651,52322,48.2947421478751,32.9660082537882,"060800","0.49439831941815698","16.076147008844998","37157.923911834201"
"JAUJA","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",5536,0.1347,69588,36570,20528,52.5521641662356,29.4993389664885,"120400","0.50063654418435799","5.8334171035243596","5516.4875522898801"
"JORGE BASADRE","TACNA","PARTIDO POLITICO NACIONAL PERU LIBRE",2892,0.5326,9106,4000,1905,43.9270810454645,20.9202723479025,"230300","0.680273531494902","0.52203416550622095","57.971894079465798"
"JULCAN","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",2762,0.2843,25322,12110,8674,47.8240265381881,34.2547981991944,"130500","0.21955269163204999","48.665874781940602","18132.418285003299"
"JUNIN","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",2924,0.314,17935,10422,5189,58.1098410928352,28.9322553666016,"120500","0.431471860723871","11.302375874387501","2853.7368845241099"
"LA CONVENCION","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",28364,0.3978,151762,70799,48686,46.6513356439688,32.0804944584283,"080900","0.45051159283270997","3.3327621713544802","7191.8674724309703"
"LA MAR","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",15116,0.6045,57215,28078,22080,49.0745433889714,38.59127851088,"050500","0.332574685607884","26.0079267774253","22368.6375834602"
"LA UNION","AREQUIPA","PARTIDO POLITICO NACIONAL PERU LIBRE",1940,0.4256,11035,5211,3144,47.2224739465338,28.4911644766652,"040800","0.35794848623647901","23.821652844868701","3708.7931314176099"
"LAMAS","SAN MARTIN","PARTIDO POLITICO NACIONAL PERU LIBRE",4780,0.1729,64147,30385,20209,47.3677646655339,31.5042012876674,"220500","0.36428462315507298","16.196097887525699","15817.919001852"
"LAMBAYEQUE","LAMBAYEQUE","PARTIDO POLITICO NACIONAL PERU LIBRE",18065,0.1384,229159,115417,75505,50.3654667719793,32.9487386487112,"140300","0.477565771225824","2.4289832097869","8376.6643667673998"
"LAMPA","PUNO","PARTIDO POLITICO NACIONAL PERU LIBRE",12524,0.5134,36151,18615,10631,51.4923515255456,29.4072086525961,"210700","0.430827933289683","13.0096571511619","6222.2588222577097"
"LAURICOCHA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",5379,0.646,18061,8935,6409,49.4712363656497,35.4852998172859,"101000","0.42238597410905399","16.5418089231481","4167.7087581871701"
"LEONCIO PRADO","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",10660,0.2024,100587,48694,33145,48.4098342728186,32.9515742590991,"100600","0.499959701878324","9.9221916546435907","14794.086978990101"
"LIMA","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",350224,0.0721,7558581,3835526,2094779,50.743995466874,27.7139187897834,"150100","0.72551287150101096","3.05","311246.82699999999"
"LORETO","LORETO","PARTIDO POLITICO NACIONAL PERU LIBRE",653,0.0385,48893,22367,19306,45.7468349252449,39.4862250219868,"160300","0.36353866955143199","15.118503758279999","13020.357806705901"
"LUCANAS","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",7678,0.4718,35666,18416,9743,51.6346099927101,27.3173330342623,"050600","0.42544900603570102","19.122899050357599","9434.6647044749407"
"LUYA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",3484,0.2518,35246,16951,11101,48.0934006695795,31.495772569937,"010500","0.34105023950541802","24.997883561590299","12705.674277849501"
"MANU","MADRE DE DIOS","PARTIDO POLITICO NACIONAL PERU LIBRE",2925,0.5057,12433,5410,3513,43.513230917719,28.2554492077536,"170200","0.59453883898234505","0.116843190289867","22.041299416280399"
"MARAÑON","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",3517,0.4066,20201,9837,7475,48.695609128261,37.0031186574922,"100700","0.32936503516825699","28.373031608598499","9049.8621618785801"
"MARISCAL CACERES","SAN MARTIN","PARTIDO POLITICO NACIONAL PERU LIBRE",4368,0.2108,48353,22635,15459,46.8119868467313,31.9711289888942,"220600","0.44676891991103601","4.9433634393912502","3714.3444210898001"
